ID,Movie,Year,Rating,Watched,Cinema,Vote Average,Vote Count,Runtime,Genres,Budget,Revenue,Profit
363676,Sully,2016,3,2017-04-22,False,3.55,4875,96,Drama|History,60000000.0,240797623.0,180797623.0
283995,Guardians of the Galaxy Vol. 2,2017,4,2017-05-01,True,3.8,15122,137,Action|Adventure|Comedy|Science Fiction,200000000.0,863756051.0,663756051.0
419430,Get Out,2017,4,2017-05-14,False,3.8,11315,104,Mystery|Thriller|Horror,4500000.0,255407969.0,250907969.0
397243,The Autopsy of Jane Doe,2016,3,2017-05-28,False,3.3,2535,86,Horror|Mystery,30000000.0,5972942.0,-24027058.0
297762,Wonder Woman,2017,4,2017-06-01,True,3.65,14914,141,Action|Adventure|Fantasy,149000000.0,821847012.0,672847012.0
324552,John Wick: Chapter 2,2017,3,2017-06-04,False,3.6,8056,122,Thriller|Action|Crime,40000000.0,171539887.0,131539887.0
395992,Life,2017,3,2017-06-11,False,3.2,5126,103,Horror|Science Fiction|Thriller,58000000.0,100541806.0,42541806.0
9693,Children of Men,2006,3,2017-06-16,False,3.8,4588,109,Drama|Action|Thriller|Science Fiction,76000000.0,69959751.0,-6040249.0
120,The Lord of the Rings: The Fellowship of the Ring,2001,4,2017-06-18,False,4.15,17404,178,Adventure|Fantasy|Action,93000000.0,871368364.0,778368364.0
61791,Rise of the Planet of the Apes,2011,4,2017-06-28,False,3.6,8482,105,Thriller|Action|Drama|Science Fiction,93000000.0,482860185.0,389860185.0
119450,Dawn of the Planet of the Apes,2014,4,2017-07-01,False,3.65,8159,130,Science Fiction|Action|Drama|Thriller,170000000.0,710644566.0,540644566.0
328387,Nerve,2017,3,2017-07-02,False,3.55,5367,96,Mystery|Adventure|Crime,19000000.0,85241496.0,66241496.0
315635,Spider-Man: Homecoming,2017,4,2017-07-07,True,3.7,14539,133,Action|Adventure|Science Fiction|Drama,175000000.0,880166924.0,705166924.0
411088,Contratiempo,2016,3,2017-07-09,False,4.1,2563,106,Mystery|Crime|Thriller,4000000.0,30000000.0,26000000.0
65086,The Woman in Black,2012,3,2017-07-25,False,3.05,2527,95,Drama|Horror|Thriller,17000000.0,127730736.0,110730736.0
374720,Dunkirk,2017,4,2017-07-28,True,3.7,11306,107,War|Action|Drama,100000000.0,525573161.0,425573161.0
18405,The Last House on the Left,2009,3,2017-07-30,False,3.2,1014,110,Crime|Thriller|Horror|Drama,15000000.0,32721635.0,17721635.0
